year,raw_sugar_t,sugarcane_t
1961,3619844.0,59377392.0
1962,3304295.0,62534512.0
1963,3332555.0,63722896.0
1964,3824719.0,66398976.0
1965,4848714.0,75852864.0
1966,4297240.0,75787520.0
1967,4376511.0,77086528.0
1968,4284012.0,76610496.0
1969,4535813.0,75247088.0
1970,5334587.0,79752944.0
1971,5611927.0,80380400.0
1972,6163589.0,85106224.0
1973,6942714.0,91994032.0
1974,6986484.0,95623680.0
1975,6017000.0,91524560.0
1976,7598000.0,103173456.0
1977,8760000.0,120081696.0
1978,7767000.0,129144944.0
1979,7029500.0,138898880.0
1980,8521300.0,148650560.0
1981,8423300.0,155924112.0
1982,9312400.0,186646608.0
1983,9576300.0,216036960.0
1984,9331900.0,222317840.0
1985,8273800.0,247199472.0
1986,8650000.0,238443008.0
1987,8458400.0,268504000.0
1988,8683000.0,258294000.0
1989,7793400.0,252290000.0
1990,7935000.0,262674144.0
1991,9348000.0,260887893.0
1992,9986000.0,271474875.0
1993,10038000.0,244530708.0
1994,12618000.0,292101835.0
1995,13594000.0,303699497.0
1996,14775000.0,317105981.0
1997,15975000.0,331612687.0
1998,19232000.0,345254972.0
1999,20955000.0,333847720.0
2000,17100000.0,326121011.0
2001,20400000.0,344292922.0
2002,23810000.0,364389416.0
2003,26400000.0,396012158.0
2004,28150000.0,415205835.0
2005,29500000.0,422956646.0
2006,32166000.0,477410656.0
2007,31279800.0,549707314.0
2008,32085300.0,645300182.0
2009,34636900.0,691606147.0
2010,39872000.0,717463793.0
2011,37582000.0,734006059.0
2012,40219000.0,721077287.0
2013,39494000.0,768090444.0
2014,37313000.0,736108487.0
2015,35194000.0,750290277.0
2016,40534000.0,768594154.0
2017,36744638.0,758646205.0
2018,28001060.0,747556774.0
2019,27732026.0,753470465.0
2020,38440412.0,756070576.0
2021,35958306.0,715679276.0
2022,37867349.0,725729052.0
2023,41967508.0,782058236.0
2024,,759662482.0
