year,preco_nom_usd_kg,preco_real_usd_kg,cpi,raw_sugar_t,sugarcane_t,world_raw_sugar_t,share_brasil,lp_nom,lp_real,lq_acucar,lq_cana
1961,0.05945,0.6058372541806021,29.9,3619844.0,59377392.0,53203229.0,0.0680380508483799,-2.822619655845346,-0.5011438864385866,15.101941488950732,17.899424105823396
1962,0.0616833333333333,0.6223521534216332,30.2,3304295.0,62534512.0,50602540.0,0.0652989948725894,-2.785741508818082,-0.47424918339550615,15.01073369535156,17.951229154304727
1963,0.1832333333333333,1.8245608867102392,30.6,3332555.0,63722896.0,52315484.0,0.06370112145000895,-1.6969948927836322,0.6013393480614327,15.01924983502484,17.970054490812025
1964,0.126325,1.2416606499999998,31.0,3824719.0,66398976.0,62276258.0,0.06141536313887067,-2.068897327804165,0.21644971751408895,15.15699555849187,18.011192192641
1965,0.0442166666666666,0.42771132592592526,31.5,4848714.0,75852864.0,63588181.0,0.07625181163776332,-3.1186534870664997,-0.8493067830946869,15.394224073114785,18.144306021780316
1966,0.0398083333333333,0.3743728019547322,32.4,4297240.0,75787520.0,63805056.0,0.06734952164292435,-3.223679008374222,-0.9825031813691055,15.273483514118059,18.14344419325785
1967,0.0420583333333333,0.3836903677644708,33.4,4376511.0,77086528.0,65516021.0,0.0668006227057043,-3.1686977354239216,-0.9579193856031759,15.29176238957544,18.16043908915423
1968,0.0419333333333333,0.36716007279693463,34.8,4284012.0,76610496.0,65821711.0,0.06508509023717114,-3.1716742233839073,-1.0019573603609357,15.2704005116663,18.15424464882265
1969,0.0705916666666666,0.5860877933696633,36.7,4535813.0,75247088.0,66442522.0,0.06826671931568161,-2.650843177332633,-0.5342856825897576,15.327514897790362,18.136287763170067
1970,0.0822416666666666,0.6458556782646043,38.8,5334587.0,79752944.0,72479730.0,0.07360108819389918,-2.4980932115921766,-0.43717920841800423,15.489722026413085,18.194444214308376
1971,0.0991,0.7455794617283951,40.5,5611927.0,80380400.0,73191561.0,0.07667450896422334,-2.311625837646195,-0.2935935619552881,15.540404712279544,18.202280923335227
1972,0.160275,1.1683280633971294,41.8,6163589.0,85106224.0,71933196.0,0.08568490408795405,-1.830864189108816,0.1555737211638736,15.634169795716947,18.2594107283545
1973,0.2085749999999999,1.4313788209459453,44.4,6942714.0,91994032.0,76481607.0,0.09077625683257413,-1.5674565901939994,0.3586381901712218,15.75320332231892,18.337234263343976
1974,0.6548166666666667,4.0471389039891825,49.3,6986484.0,95623680.0,76002803.0,0.09192403074923435,-0.42339998074453195,1.3980101880102238,15.75948798336905,18.37593104609413
1975,0.4510916666666666,2.5548054464064434,53.8,6017000.0,91524560.0,79529386.0,0.07565756888906448,-0.7960847080998344,0.937976074535827,15.61009935420249,18.332117909529355
1976,0.254825,1.3645990711775045,56.9,7598000.0,103173456.0,83483643.0,0.09101184048712392,-1.3671782439276605,0.31086066474345436,15.843395612729708,18.451922168625426
1977,0.1789333333333333,0.8996921540154014,60.6,8760000.0,120081696.0,89828767.0,0.09751887165500112,-1.720741981992775,-0.10570262526464352,15.985706462912574,18.60368286910713
1978,0.1723083333333333,0.8052560396216767,65.2,7767000.0,129144944.0,90686679.0,0.08564653690758706,-1.7584697713634132,-0.21659499049262046,15.865394547401785,18.676445928462613
1979,0.21295,0.8937505633608815,72.6,7029500.0,138898880.0,88570468.0,0.07936618331970426,-1.5466978826129145,-0.11232855464026482,15.7656261375021,18.74925674433713
1980,0.6316083333333333,2.3355864366909382,82.4,8521300.0,148650560.0,85617739.0,0.09952727202945642,-0.45948580268304584,0.8482630102049281,15.958079469325648,18.817108874639764
1981,0.3740833333333333,1.2539487330399706,90.9,8423300.0,155924112.0,94078900.0,0.0895344227026464,-0.9832766899882053,0.22629755863176165,15.946512233426862,18.86487998531455
1982,0.1856416666666666,0.5861698146804833,96.5,9312400.0,186646608.0,103243356.0,0.09019854023342674,-1.6839369866993095,-0.5341457452408497,16.04685740335726,19.044727590108568
1983,0.186725,0.5712397685742971,99.6,9576300.0,216036960.0,98228578.0,0.09748995857397019,-1.6781183327390066,-0.5599462475261592,16.074801854050026,19.190960062121714
1984,0.1146666666666666,0.33627683028553074,103.9,9331900.0,222317840.0,100403617.0,0.09294386276940601,-2.165725910276849,-1.0898205585786307,16.0489491962495,19.219618627626243
1985,0.0894666666666666,0.2533519727385376,107.6,8273800.0,247199472.0,98974453.0,0.08359530918549254,-2.413889162552721,-1.3729755604770046,15.928604453605953,19.325706147623197
1986,0.133375,0.37079953695255474,109.6,8650000.0,238443008.0,102005832.0,0.0847990730569209,-2.0145905693602195,-0.9920936940707347,15.973069878908062,19.289640879569426
1987,0.1489583333333333,0.39954139157863844,113.6,8458400.0,268504000.0,102860753.0,0.08223155823096104,-1.9040886542019748,-0.9174379106856256,15.950670588400454,19.40837636938137
1988,0.2246666666666666,0.5786676472245702,118.3,8683000.0,258294000.0,104953446.0,0.08273191906438213,-1.49313745673794,-0.5470269779188809,15.976877649042782,19.36960902899256
1989,0.2820583333333333,0.6930946635752687,124.0,7793400.0,252290000.0,106834061.0,0.07294864509550002,-1.2656413736437708,-0.36658868944540757,15.86878777962343,19.346089777471047
1990,0.276675,0.6450147348890589,130.7,7935000.0,262674144.0,111719140.0,0.07102632548012812,-1.284911746831288,-0.43848211765806416,15.886793911942647,19.38642482575394
1991,0.1975916666666667,0.44204534520313277,136.2,9348000.0,260887893.0,113701177.0,0.08221550776031104,-1.6215526672972056,-0.8163428112092174,16.050672974640886,19.379601344277443
1992,0.1995916666666667,0.43347099085293417,140.3,9986000.0,271474875.0,116527459.0,0.08569653955983027,-1.6114816661433364,-0.8359304034483518,16.11669467004269,19.419380151619578
1993,0.220975,0.46596210692041523,144.5,10038000.0,244530708.0,109437359.0,0.09172370469941622,-1.5097057060351253,-0.7636509637842122,16.121888449197016,19.31485145408482
1994,0.2669833333333333,0.5489227775528565,148.2,12618000.0,292101835.0,108468294.0,0.11632892465331851,-1.3205690445027545,-0.5997975075613408,16.350634923912892,19.49261304943341
1995,0.2927833333333333,0.58537839391951,152.4,13594000.0,303699497.0,119015850.0,0.11422008077075449,-1.228322420190855,-0.5354968136400007,16.42513907688872,19.531549273774896
1996,0.263575,0.5118663457616316,156.9,14775000.0,317105981.0,126322177.0,0.11696283543308472,-1.3334173215191236,-0.6696917314547105,16.508447121256435,19.574746600888567
1997,0.25065,0.4758477028037383,160.5,15975000.0,331612687.0,127837652.0,0.12496318377311874,-1.3836977352726247,-0.7426574280392951,16.586535558227872,19.619478240445268
1998,0.196725,0.367745404601227,163.0,19232000.0,345254972.0,130225267.0,0.14768255380117593,-1.62594846456109,-1.0003644155644522,16.77208611631707,19.65979375130856
1999,0.1380916666666666,0.2525618668467386,166.6,20955000.0,333847720.0,134268308.0,0.15606810208705393,-1.9798375631343896,-1.3760990430637319,16.85788783934131,19.626195518830425
2000,0.1803583333333333,0.3191378913085559,172.2,17100000.0,326121011.0,132551247.0,0.12900670787352156,-1.712809666249654,-1.142132008439884,16.654589021472887,19.602779069840036
2001,0.1903916666666666,0.32757042132505165,177.1,20400000.0,344292922.0,133975745.0,0.15226636731895016,-1.6586719250897006,-1.1160522200750882,16.831045458814444,19.657003370444233
2002,0.151825,0.2571505344635908,179.9,23810000.0,364389416.0,146864248.0,0.16212250649320725,-1.8850267371984981,-1.3580936283515856,16.985616218463047,19.713733677922775
2003,0.1563019666666666,0.2588343578655796,184.0,26400000.0,396012158.0,149715623.0,0.17633430280018272,-1.8559654589936456,-1.351566966799231,17.088874568116545,19.79695547076766
2004,0.1579860755,0.2548368087718422,188.9,28150000.0,415205835.0,145950286.0,0.19287389406006372,-1.84524837958566,-1.3671319042897239,17.153057912549972,19.84428494318541
2005,0.2179266869999999,0.34000357082577554,195.3,29500000.0,422956646.0,141781397.0,0.20806678890320146,-1.5235965709190953,-1.0787991589983286,17.19990082131005,19.862780240032148
2006,0.3258723906883333,0.4925296090650622,201.6,32166000.0,477410656.0,151579965.0,0.21220482535406313,-1.1212494138542504,-0.7082007002480637,17.28642055203773,19.9838875925248
2007,0.2221522086666666,0.32646652528262793,207.342,31279800.0,549707314.0,164911921.56,0.18967579604982926,-1.5043925074184183,-1.1194278614555524,17.258483079759053,20.1248965381817
2008,0.2821362445,0.39928602003520164,215.303,32085300.0,645300182.0,162784902.9,0.19710243043674783,-1.2653651881920738,-0.9180772767074308,17.283908539286667,20.28522616494539
2009,0.400028299,0.5681510544190418,214.537,34636900.0,691606147.0,148948976.1,0.23254204833704797,-0.9162199868766415,-0.5653679547383982,17.36043014573701,20.354527199819508
2010,0.4693468963333333,0.6558450031485459,218.056,39872000.0,717463793.0,154407367.65,0.2582260199550782,-0.7564131329123108,-0.42183079364373827,17.501184881129262,20.391233041606995
2011,0.5731644563333333,0.7764076312852789,224.939,37582000.0,734006059.0,169383667.55,0.22187499269317834,-0.5565825941389527,-0.25307759867160057,17.442035770331234,20.41402784131311
2012,0.4749454142066667,0.630316199898951,229.594,40219000.0,721077287.0,178477408.04,0.22534504754229845,-0.744555399010662,-0.46153368090703484,17.509850078747572,20.396256883679097
2013,0.3900447069325,0.5101688392782643,232.957,39494000.0,768090444.0,179700526.58,0.2197767627710198,-0.9414939132680672,-0.6730135506428165,17.491659319599393,20.45941804980312
2014,0.3749874901666667,0.48264496413204444,236.736,37313000.0,736108487.0,180214737.81,0.20704743936835518,-0.980862613123724,-0.7284739595303128,17.43485234936232,20.416888066645935
2015,0.2962641843333333,0.38086841658925447,237.017,35194000.0,750290277.0,174676731.68,0.20148075626050663,-1.2165037080727996,-0.965301326789866,17.376386171493845,20.43597072561552
2016,0.3980625128333333,0.5053621093774029,240.007,40534000.0,768594154.0,178488202.27,0.22709624212968435,-0.9211462186110596,-0.6824800583909785,17.517651686061395,20.460073630029143
2017,0.3531250085,0.43896008624333793,245.12,36744638.0,758646205.0,178369826.53,0.20600254378685467,-1.0409331530106354,-0.8233467897594619,17.419502868216078,20.447046093616283
2018,0.2756142436666667,0.33443994501834146,251.107,28001060.0,747556774.0,181191939.4,0.15453811076101323,-1.288753058788185,-1.095297952099464,17.147752924565772,20.432320812184386
2019,0.2800234836666667,0.33374292712580006,255.657,27732026.0,753470465.0,177202328.87,0.15649921858727317,-1.272881809091704,-1.0973842616246685,17.138098476589153,20.440200378182308
