period,sugar_world_usd_kg,year,month
1960M01,0.0666,1960,1
1960M02,0.0679,1960,2
1960M03,0.0683,1960,3
1960M04,0.0681,1960,4
1960M05,0.0683,1960,5
1960M06,0.0666,1960,6
1960M07,0.0728,1960,7
1960M08,0.0741,1960,8
1960M09,0.0725,1960,9
1960M10,0.0538,1960,10
1960M11,0.052,1960,11
1960M12,0.0635,1960,12
1961M01,0.0646,1961,1
1961M02,0.0626,1961,2
1961M03,0.0626,1961,3
1961M04,0.0668,1961,4
1961M05,0.0703,1961,5
1961M06,0.0655,1961,6
1961M07,0.0609,1961,7
1961M08,0.0536,1961,8
1961M09,0.0542,1961,9
1961M10,0.0527,1961,10
1961M11,0.0509,1961,11
1961M12,0.0487,1961,12
1962M01,0.0465,1962,1
1962M02,0.0498,1962,2
1962M03,0.0558,1962,3
1962M04,0.0571,1962,4
1962M05,0.0553,1962,5
1962M06,0.0562,1962,6
1962M07,0.0621,1962,7
1962M08,0.0646,1962,8
1962M09,0.0626,1962,9
1962M10,0.0666,1962,10
1962M11,0.0754,1962,11
1962M12,0.0882,1962,12
1963M01,0.1157,1963,1
1963M02,0.1305,1963,2
1963M03,0.1431,1963,3
1963M04,0.1647,1963,4
1963M05,0.2191,1963,5
1963M06,0.2154,1963,6
1963M07,0.1975,1963,7
1963M08,0.1413,1963,8
1963M09,0.1607,1963,9
1963M10,0.2304,1963,10
1963M11,0.2542,1963,11
1963M12,0.2262,1963,12
1964M01,0.231,1964,1
1964M02,0.1991,1964,2
1964M03,0.1612,1964,3
1964M04,0.1711,1964,4
1964M05,0.1545,1964,5
1964M06,0.1155,1964,6
1964M07,0.1034,1964,7
1964M08,0.0933,1964,8
1964M09,0.0783,1964,9
1964M10,0.0769,1964,10
1964M11,0.0725,1964,11
1964M12,0.0591,1964,12
1965M01,0.0513,1965,1
1965M02,0.0476,1965,2
1965M03,0.0534,1965,3
1965M04,0.0512,1965,4
1965M05,0.0496,1965,5
1965M06,0.0412,1965,6
1965M07,0.0408,1965,7
1965M08,0.0377,1965,8
1965M09,0.039,1965,9
1965M10,0.0428,1965,10
1965M11,0.0377,1965,11
1965M12,0.0383,1965,12
1966M01,0.0531,1966,1
1966M02,0.0489,1966,2
1966M03,0.0472,1966,3
1966M04,0.0452,1966,4
1966M05,0.045,1966,5
1966M06,0.037,1966,6
1966M07,0.0379,1966,7
1966M08,0.0359,1966,8
1966M09,0.0329,1966,9
1966M10,0.0337,1966,10
1966M11,0.0311,1966,11
1966M12,0.0298,1966,12
1967M01,0.0287,1967,1
1967M02,0.037,1967,2
1967M03,0.0346,1967,3
1967M04,0.0452,1967,4
