year,world_raw_sugar_t
1961,53203229.0
1962,50602540.0
1963,52315484.0
1964,62276258.0
1965,63588181.0
1966,63805056.0
1967,65516021.0
1968,65821711.0
1969,66442522.0
1970,72479730.0
1971,73191561.0
1972,71933196.0
1973,76481607.0
1974,76002803.0
1975,79529386.0
1976,83483643.0
1977,89828767.0
1978,90686679.0
1979,88570468.0
1980,85617739.0
1981,94078900.0
1982,103243356.0
1983,98228578.0
1984,100403617.0
1985,98974453.0
1986,102005832.0
1987,102860753.0
1988,104953446.0
1989,106834061.0
1990,111719140.0
1991,113701177.0
1992,116527459.0
1993,109437359.0
1994,108468294.0
1995,119015850.0
1996,126322177.0
1997,127837652.0
1998,130225267.0
1999,134268308.0
2000,132551247.0
2001,133975745.0
2002,146864248.0
2003,149715623.0
2004,145950286.0
2005,141781397.0
2006,151579965.0
2007,164911921.56
2008,162784902.9
2009,148948976.1
2010,154407367.65
2011,169383667.55
2012,178477408.04
2013,179700526.58
2014,180214737.81
2015,174676731.68
2016,178488202.27
2017,178369826.53
2018,181191939.4
2019,177202328.87
2020,173057726.06
2021,178244655.33
2022,181978532.31
2023,187555273.39
