year,brent_usd_bbl
1960,1.6300001144400003
1961,1.57
1962,1.5200000000000002
1963,1.5
1964,1.45
1965,1.42
1966,1.36
1967,1.33
1968,1.32
1969,1.27
1970,1.21
1971,1.6900000000000002
1972,1.82
1973,2.8074999999999997
1974,10.974999427795
1975,10.4325001239775
1976,11.63000011444
1977,12.5650000572225
1978,12.916666666666666
1979,32.11250003178917
1980,37.89166704813667
1981,36.675833066304165
1982,33.4183328946425
1983,29.829167048136668
1984,28.8016665776575
1985,27.329166666666666
1986,14.770833333333334
1987,18.341666666666665
1988,14.970833333333333
1989,18.216666666666665
1990,23.683333333333334
1991,20.066666666666666
1992,19.3125
1993,17.020833333333332
1994,15.83
1995,17.065833333333334
1996,20.650000000000002
1997,19.090208333333333
1998,12.716541666666666
1999,17.808333333333334
2000,28.27291590909083
2001,24.421571535889168
2002,24.969477707773333
2003,28.8513905828475
2004,38.300679681746665
2005,54.434130411255005
2006,65.39138122067332
2007,72.6961705259525
2008,97.63648418188085
2009,61.862206890332494
2010,79.63562997992334
2011,110.93992536388834
2012,111.96555833960834
2013,108.85637454514166
2014,98.9375
2015,52.370000000000005
2016,44.04749999999999
2017,54.392500000000005
2018,71.07166666666667
2019,64.03166666666667
2020,42.300000000000004
2021,70.44333333333333
2022,99.82416666666667
2023,82.61625
2024,80.69866666666667
