year,preco_etanol_nom_usd_hl,preco_etanol_real_usd_hl,eth_usa_usd_hl,prod_brasil_tbpd,prod_eua_tbpd,prod_mundo_tbpd,share_brasil,sugar_world_usd_kg,brent_usd_bbl,cpi,lp_nom,lp_real,lq,lp_acucar,lp_oil
1990,37.62,84.23627467482784,,203.0,49.0,255.1,0.7957663661309291,0.276675,23.683333333333334,130.7,3.627535823872884,4.433625644089411,5.313205979041787,-1.284911746831288,3.1647715658749997
1991,31.78,68.28616666666666,,220.0,57.0,280.1,0.785433773652267,0.1975916666666667,20.066666666666663,136.2,3.45883716110857,4.223707208239861,5.393627546352362,-1.6215526672972056,2.9990600636466653
1992,30.63,63.891822166785445,,202.0,64.0,269.1,0.7506503158677071,0.1995916666666667,19.3125,140.3,3.421979920844684,4.157191374582972,5.308267697401205,-1.6114816661433364,2.9607525546579643
1993,27.02,54.72344705882352,,195.0,75.0,272.6,0.7153338224504768,0.220975,17.020833333333332,144.5,3.2965773325320527,4.002292265826269,5.272999558563747,-1.5097057060351253,2.834438083952112
1994,25.11,49.585472672064775,,216.0,84.0,302.6,0.7138136153337739,0.2669833333333333,15.83,148.2,3.2232661731694936,3.90369790115421,5.375278407684165,-1.3205690445027545,2.761906873892921
1995,27.03,51.90593602362205,,220.0,89.0,311.4,0.7064868336544637,0.2927833333333333,17.065833333333334,152.4,3.2969473602883563,3.9494331578825137,5.393627546352362,-1.228322420190855,2.8370784140602208
1996,32.73,61.04906405353727,,243.0,63.0,308.9,0.7866623502751701,0.263575,20.65,156.9,3.4882920885130893,4.111677869620805,5.493061443340548,-1.3334173215191236,3.027715319407042
1997,30.38,55.39475950155762,,267.0,84.0,354.3,0.7535986452159187,0.25065,19.090208333333333,160.5,3.4137844971676268,4.014484995444259,5.58724865840025,-1.3836977352726247,2.9491755508961974
1998,27.74,49.80521288343557,,243.0,92.0,338.4,0.7180851063829787,0.196725,12.716541666666666,163.0,3.3228754148866853,3.908119654926626,5.493061443340548,-1.62594846456109,2.542903639394124
1999,25.89,45.4792193877551,,224.0,96.0,325.0,0.6892307692307692,0.1380916666666666,17.808333333333334,166.6,3.2538567937634464,3.8172555048774073,5.4116460518550396,-1.9798375631343896,2.8796665125371015
2000,35.66,60.60439779326364,35.66,184.0,105.53825136612022,299.4782513661202,0.61440187780132,0.1803583333333333,28.27291590909083,172.2,3.574029612434994,4.104367461288067,5.214935757608986,-1.712809666249654,3.3419043113843263
2001,39.1,64.61214285714286,39.1,198.0,115.14520547945206,323.6652054794521,0.6117432354420007,0.1903916666666666,24.421571535889168,177.1,3.66612246699132,4.1684023630492355,5.288267030694535,-1.6586719250897006,3.195466821070915
2002,29.59,48.135972484713726,29.59,217.0,139.6054794520548,378.0254794520548,0.5740353806694193,0.151825,24.969477707773333,179.9,3.3874364664121184,3.8740297663023338,5.37989735354046,-1.8850267371984981,3.217654187283709
2003,35.66,56.717811413043464,35.66,249.0,182.93698630136987,465.1569863013699,0.5353031499749974,0.1563019666666666,28.8513905828475,184.0,3.574029612434994,4.038088295672711,5.517452896464707,-1.8559654589936456,3.362158192237825
2004,46.17,71.52928189518263,46.17,252.0,221.46994535519124,511.0599453551913,0.4930928402633036,0.1579860755,38.300679681746665,188.9,3.8323302365188976,4.270106902858137,5.529429087511423,-1.84524837958566,3.6454676422888412
