year,eth_world_ref_usd_hl,eth_usa_usd_hl,eth_brasil_brl_hl,is_projection
1990,37.62,,,0
1991,31.78,,,0
1992,30.63,,,0
1993,27.02,,,0
1994,25.11,,,0
1995,27.03,,,0
1996,32.73,,,0
1997,30.38,,,0
1998,27.74,,,0
1999,25.89,,,0
2000,35.66,35.66,50.57,0
2001,39.1,39.1,71.16,0
2002,29.59,29.59,52.32,0
2003,35.66,35.66,67.17,0
2004,46.17,46.17,58.89,0
2005,48.84,48.52,74.05,0
2006,67.79,68.24,90.43,0
2007,58.0,58.01,71.27,0
2008,63.37,64.02,71.94,0
2009,48.8,48.65,76.27,0
2010,52.34,56.4,91.42,0
2011,73.27,73.32,121.08,0
2012,65.49,65.52,110.84,0
2013,67.74,67.74,117.44,0
2014,62.86,62.88,125.79,0
2015,44.97,44.98,135.98,0
2016,44.81,44.94,188.07,0
2017,43.66,43.65,152.49,0
2018,39.41,39.53,166.33,0
2019,40.03,41.09,173.96,0
2020,37.91,37.91,180.68,0
2021,64.91,64.87,296.55,0
2022,70.75,71.08,297.3,0
2023,56.81,56.53,235.1,1
2024,52.25,52.28,219.63,1
2025,52.77,52.91,224.13,1
2026,53.42,53.5,228.12,1
2027,53.94,54.07,229.36,1
2028,54.32,54.5,229.83,1
2029,54.86,55.05,231.65,1
2030,55.54,55.72,234.87,1
2031,56.21,56.36,238.28,1
2032,56.77,56.9,241.12,1
