year,prod_mundo_tbpd,prod_brasil_tbpd,prod_eua_tbpd
1980,64.6,64.0,
1981,78.1,72.0,5.4
1982,116.0,100.0,15.0
1983,164.1,136.0,27.0
1984,228.2,194.0,33.0
1985,245.0,204.0,40.0
1986,228.2,181.0,46.0
1987,251.3,197.0,53.0
1988,257.3,202.0,54.0
1989,261.4,205.0,55.0
1990,255.1,203.0,49.0
1991,280.1,220.0,57.0
1992,269.1,202.0,64.0
1993,272.6,195.0,75.0
1994,302.6,216.0,84.0
1995,311.4,220.0,89.0
1996,308.9,243.0,63.0
1997,354.3,267.0,84.0
1998,338.4,243.0,92.0
1999,325.0,224.0,96.0
2000,299.4782513661202,184.0,105.53825136612022
2001,323.6652054794521,198.0,115.14520547945206
2002,378.0254794520548,217.0,139.6054794520548
2003,465.1569863013699,249.0,182.93698630136987
2004,511.05994535519125,252.0,221.46994535519124
2005,584.9276712328767,276.0,254.6876712328767
2006,682.31694334,271.62574755,318.40226999
2007,866.36773741,337.30637908,425.09580586
2008,1158.01763122,406.10399915,606.82170976
2009,1250.9061978,382.32189319,713.01694637
2010,1459.24298006,422.18826277,866.86820918
2011,1446.01939335,348.06946107,908.01622813
2012,1421.78931903,357.1448918,861.65797031
2013,1513.10809922,419.79463944,866.5287086
2014,1610.80066822,440.59752431,933.02701748
2015,1673.14395459,469.23593287,965.25767016
2016,1686.13895273,439.925908,1004.76020642
2017,1771.517063723,469.5452055,1038.85811233
2018,1898.818885083,565.8520548,1048.94469569
2019,1949.79646364,599.8027397,1028.54076245
2020,1775.11819077,548.6465753,907.81205843
2021,1844.18863177,560.8767123,956.9640254
2022,1917.49624364,548.5795068,1002.0
2023,2053.5089875,633.2758356,1016.0
2024,2117.76236675,626.0,1056.0
