year,sugar_world_usd_kg
1960,0.06620833333333333
1961,0.05945
1962,0.06168333333333333
1963,0.18323333333333333
1964,0.126325
1965,0.04421666666666666
1966,0.039808333333333334
1967,0.042058333333333336
1968,0.04193333333333333
1969,0.07059166666666666
1970,0.08224166666666667
1971,0.09910000000000001
1972,0.160275
1973,0.20857499999999998
1974,0.6548166666666667
1975,0.45109166666666667
1976,0.254825
1977,0.17893333333333336
1978,0.1723083333333333
1979,0.21295
1980,0.6316083333333333
1981,0.3740833333333333
1982,0.18564166666666668
1983,0.186725
1984,0.11466666666666665
1985,0.08946666666666668
1986,0.133375
1987,0.14895833333333333
1988,0.22466666666666665
1989,0.28205833333333336
1990,0.276675
1991,0.1975916666666667
1992,0.1995916666666667
1993,0.220975
1994,0.26698333333333335
1995,0.29278333333333334
1996,0.263575
1997,0.25065
1998,0.196725
1999,0.13809166666666667
2000,0.18035833333333331
2001,0.19039166666666665
2002,0.15182500000000002
2003,0.15630196666666665
2004,0.15798607550000002
2005,0.21792668699999998
2006,0.32587239068833335
2007,0.22215220866666666
2008,0.2821362445
2009,0.400028299
2010,0.4693468963333333
2011,0.5731644563333333
2012,0.4749454142066667
2013,0.3900447069325
2014,0.3749874901666667
2015,0.29626418433333335
2016,0.3980625128333333
2017,0.3531250085
2018,0.2756142436666667
2019,0.2800234836666667
2020,0.2831283235
2021,0.389556354
2022,0.40783632816666665
2023,0.5164689786666666
2024,0.4486034263333334
