estado,sos_ref,eos_ref,sos_label_ref,eos_label_ref,n_hex,sos_det_median,eos_det_median,sos_erro_dias,eos_erro_dias
Tocantins,319,60,Meio Nov,Início Mar,987,323.6,75.2,4.6,15.2
Maranhão,350,85,Final Dez,Final Mar,528,312.2,117.4,-37.8,32.4
Piauí,335,85,Final Nov,Final Mar,193,346.0,101.4,11.0,16.4
Bahia,319,85,Meio Nov,Final Mar,71,336.5,82.5,17.5,-2.5
Mato Grosso,289,45,Meio Out,Meio Fev,1873,310.3,49.7,21.3,4.7
Mato Grosso do Sul,289,60,Meio Out,Início Mar,821,313.5,56.6,24.5,-3.4
Goiás,319,60,Meio Nov,Início Mar,1179,319.5,78.4,0.5,18.4
Minas Gerais,319,60,Meio Nov,Início Mar,495,316.0,65.4,-3.0,5.4
São Paulo,289,60,Meio Out,Início Mar,857,314.3,85.8,25.3,25.8
Paraná,289,60,Meio Out,Início Mar,770,315.0,65.0,26.0,5.0
Santa Catarina,319,105,Meio Nov,Meio Abr,492,333.5,87.9,14.5,-17.1
Rio Grande do Sul,335,105,Final Nov,Meio Abr,911,341.9,95.3,6.9,-9.7
